ID,Label,Genre,Director
338,Magic Mike,Comedy,Steven Soderbergh
339,Minions,Animation,Kyle Balda
340,The Black Room,Horror,Rolfe Kanefsky
341,Bronson,Action,Nicolas Winding Refn
342,Despicable Me,Animation,Pierre Coffin
343,The Best of Me,Drama,Michael Hoffman
344,The Invitation,Drama,Karyn Kusama
345,Zero Dark Thirty,Drama,Kathryn Bigelow
346,Tangled,Animation,Nathan Greno
347,The Hunger Games: Mockingjay - Part 2,Action,Francis Lawrence
348,Vacation,Adventure,John Francis Daley
349,Taken,Action,Pierre Morel
350,Pitch Perfect 2,Comedy,Elizabeth Banks
351,Monsters University,Animation,Dan Scanlon
352,Elle,Crime,Paul Verhoeven
353,Mechanic: Resurrection,Action,Dennis Gansel
354,Tusk,Comedy,Kevin Smith
355,Atonement,Drama,Joe Wright
356,Harry Potter and the Deathly Hallows: Part 1,Adventure,David Yates
357,Shame,Drama,Steve McQueen
358,Hanna,Action,Joe Wright
359,Pride and Prejudice and Zombies,Action,Burr Steers
360,300: Rise of an Empire,Action,Noam Murro
361,London Has Fallen,Action,Babak Najafi
362,Sin City: A Dame to Kill For,Action,Frank Miller
363,The Purge: Election Year,Action,James DeMonaco
364,3 Idiots,Comedy,Rajkumar Hirani
365,Zoolander 2,Comedy,Ben Stiller
366,World War Z,Action,Marc Forster
367,Mission: Impossible - Ghost Protocol,Action,Brad Bird
368,Let Me Make You a Martyr,Action,Corey Asraf
369,Filth,Comedy,Jon S. Baird
370,The Longest Ride,Drama,George Tillman Jr.
371,Kick-Ass 2,Action,Jeff Wadlow
372,Folk Hero & Funny Guy,Comedy,Jeff Grace
373,Oz the Great and Powerful,Adventure,Sam Raimi
374,Brooklyn,Drama,John Crowley
375,Coraline,Animation,Henry Selick
376,Blue Valentine,Drama,Derek Cianfrance
377,The Thinning,Thriller,Michael J. Gallagher
378,Silent Hill,Adventure,Christophe Gans
379,Dredd,Action,Pete Travis
380,Hunt for the Wilderpeople,Adventure,Taika Waititi
381,Big Hero 6,Animation,Don Hall
382,Carrie,Drama,Kimberly Peirce
383,Iron Man 2,Action,Jon Favreau
384,Demolition,Comedy,Jean-Marc Vallée
385,Pandorum,Action,Christian Alvart
386,Olympus Has Fallen,Action,Antoine Fuqua
387,I Am Number Four,Action,D.J. Caruso
388,The Proposal,Comedy,Anne Fletcher
389,Get Hard,Comedy,Etan Cohen
390,Just Go with It,Comedy,Dennis Dugan
391,Revolutionary Road,Drama,Sam Mendes
392,The Boy,Horror,William Brent Bell
393,Denial,Biography,Mick Jackson
